metric, step, value
env0_out_accuracy, 6001, 0.9826388955116272
env0_out_accuracy, 6501, 0.9826388955116272
env0_out_accuracy, 7001, 0.9826388955116272
env0_out_accuracy, 7501, 0.9826388955116272
env0_out_accuracy, 8001, 0.9826388955116272
env0_out_max_difference, 1, 0.0008350163698196411
env0_out_max_difference, 501, 0.0024649687111377716
env0_out_max_difference, 1001, 0.0036298464983701706
env0_out_max_difference, 1501, 0.012704933993518353
env0_out_max_difference, 2001, 0.005319186486303806
env0_out_max_difference, 2501, 0.03539403900504112
env0_out_max_difference, 3001, 0.023756802082061768
env0_out_max_difference, 3501, 0.004577073734253645
env0_out_max_difference, 4001, 0.008899678476154804
env0_out_max_difference, 4501, 0.003499721409752965
env0_out_max_difference, 5001, 0.001401506713591516
env0_out_max_difference, 5501, 0.0012178020551800728
env0_out_max_difference, 6001, 0.0012139205355197191
env0_out_max_difference, 6501, 0.0010941762011498213
env0_out_max_difference, 7001, 0.0012369684409350157
env0_out_max_difference, 7501, 0.0010046318639069796
env0_out_max_difference, 8001, 0.0009937221184372902
env0_out_demographic_parity, 1, 0.0
env0_out_demographic_parity, 501, 0.0
env0_out_demographic_parity, 1001, 0.0
env0_out_demographic_parity, 1501, 0.0
env0_out_demographic_parity, 2001, 0.0
env0_out_demographic_parity, 2501, 0.1837349385023117
env0_out_demographic_parity, 3001, 0.5512048006057739
env0_out_demographic_parity, 3501, 0.0
env0_out_demographic_parity, 4001, 0.0
env0_out_demographic_parity, 4501, 0.0
env0_out_demographic_parity, 5001, 0.0
env0_out_demographic_parity, 5501, 0.0
env0_out_demographic_parity, 6001, 0.0
env0_out_demographic_parity, 6501, 0.0
env0_out_demographic_parity, 7001, 0.0
env0_out_demographic_parity, 7501, 0.0
env0_out_demographic_parity, 8001, 0.0
env0_out_equalized_odds, 1, 0.0
env0_out_equalized_odds, 501, 0.0
env0_out_equalized_odds, 1001, 0.0
env0_out_equalized_odds, 1501, 0.0
env0_out_equalized_odds, 2001, 0.0
